	mean	total	bio	tech	p.value	FDR
Atrx	7.64556105069415	6.83403188658526	2.62544422725255	4.20858765933272	0.000305809361152117	0.0299994676116126
Hspa5	8.62527933565321	4.75589523925831	2.55408072551895	2.20181451373936	5.90174519230842e-09	1.91189094253154e-06
Cpq	7.71749083155736	6.55540184564816	2.54173265816537	4.01366918748279	0.000259911893667243	0.0260472854588827
Dnaja1	7.9555773302879	5.94512226247885	2.53449913256208	3.41062312991677	3.59461244637391e-05	0.00490911288019496
Nap1l1	8.3253218990923	5.18060393075801	2.52817546466348	2.65242846609453	5.52028979097236e-07	0.000122059740933722
Fermt3	8.7782778901399	4.52935440918781	2.52729505668158	2.00205935250623	5.46752398385399e-10	2.30795785136624e-07
Morf4l2	7.69415263097888	6.60211144527689	2.5256912519174	4.07642019335949	0.000328880555579076	0.0315952147532174
Cd164	7.6188784189433	6.80095645539916	2.5190502217674	4.28190623363177	0.000557825327731115	0.0491804228816103
Lgals3bp	9.26412466007236	3.9649201096717	2.49575928524517	1.46916082442653	9.62535899365121e-15	7.88713239891537e-12
Esam	8.15986181713634	5.42419082517767	2.46211739920324	2.96207342597443	6.61417522100106e-06	0.00113747482504376
Sash3	7.96071703017322	5.70335718731753	2.3048683261997	3.39848886111783	0.000117898642750137	0.0131386247480753
Sept7	8.14327600323514	5.29691476444284	2.30110070056802	2.99581406387482	2.24449479469545e-05	0.00332615026490507
Phgdh	8.2160538415214	5.13140214920256	2.28000311504479	2.85139903415777	1.22657715657981e-05	0.00191979997653447
Eltd1	8.51493816505598	4.63601995667155	2.2796332805991	2.35638667607245	4.08727584391647e-07	9.33372991897647e-05
Pgrmc1	8.22333122177639	5.10665756910873	2.26917868284041	2.83747888626832	1.22401657928313e-05	0.00191979997653447
Txn2	8.05355987408121	5.44757514431467	2.26091354285302	3.18666160146165	6.69458473390633e-05	0.00825270489763851
Slc18a2	8.0506843321544	5.42445092026982	2.2314432423628	3.19300767790702	8.12658394993018e-05	0.00951288356491827
Smc1a	7.86673664026846	5.85149967964717	2.2247811185018	3.62671856114537	0.000365230710236732	0.0343761067134978
Pik3ip1	8.02678173641022	5.45661225975822	2.21031422421266	3.24629803554555	0.000112398299032445	0.0127585750018737
Zfp207	8.40693880335048	4.65810839005879	2.14025323570036	2.51785515435842	4.5551808646148e-06	0.000834916703211633
Hspd1	8.00212140970813	5.43991155992045	2.13763606077085	3.3022754991496	0.000203566736306734	0.021161825647409
Csnk1a1	8.94244378091923	3.93384505595741	2.12833573005531	1.8055093259021	3.83512850254141e-09	1.27198428667623e-06
Ddx39b	8.18451043742896	5.0312638065048	2.11843148491201	2.91283232159279	4.82673160085136e-05	0.0063430538867792
Sh3bgrl	9.12611057430553	3.70048707203234	2.09453445043257	1.60595262159977	2.01870867180014e-10	1.04150414067318e-07
Atxn10	8.18291409319776	5.00636675259685	2.090378138387	2.91598861420985	5.84803803613293e-05	0.00747368530672768
Serpina3g	9.97504375624151	3.00548502353078	2.08832044175061	0.917164581780165	1.04887845037471e-21	1.62343075707998e-18
Ddx3x	8.58166625468779	4.31950048823256	2.05767013639716	2.2618303518354	1.36033952853821e-06	0.000270707566179104
